0
"{'seed': 1, 'average service time': np.float64(29.31833212394531), 'average waiting time': np.float64(94.21972347227688), 'average System time': np.float64(123.53805559622221), 'Docotor mean service time': np.float64(6220.191741652125), 'Doctor utilization': np.float64(0.6170825140527901)}"
"{'seed': 2, 'average service time': np.float64(29.27395718360699), 'average waiting time': np.float64(104.44875053356266), 'average System time': np.float64(133.72270771716967), 'Docotor mean service time': np.float64(6351.242483389769), 'Doctor utilization': np.float64(0.6300835797013659)}"
"{'seed': 3, 'average service time': np.float64(29.551373336691547), 'average waiting time': np.float64(101.67404786885211), 'average System time': np.float64(131.22542120554368), 'Docotor mean service time': np.float64(6247.564871022417), 'Doctor utilization': np.float64(0.6197981022839699)}"
"{'seed': 4, 'average service time': np.float64(29.305533750776757), 'average waiting time': np.float64(89.19679674842446), 'average System time': np.float64(118.50233049920124), 'Docotor mean service time': np.float64(6180.6260679854195), 'Doctor utilization': np.float64(0.6131573480144266)}"
"{'seed': 5, 'average service time': np.float64(29.420608190907426), 'average waiting time': np.float64(88.22177743462866), 'average System time': np.float64(117.64238562553611), 'Docotor mean service time': np.float64(6018.329085756877), 'Doctor utilization': np.float64(0.5970564569203252)}"
"{'seed': 6, 'average service time': np.float64(29.17695733058536), 'average waiting time': np.float64(91.13775668280543), 'average System time': np.float64(120.31471401339081), 'Docotor mean service time': np.float64(6029.162984411918), 'Doctor utilization': np.float64(0.5981312484535632)}"
"{'seed': 7, 'average service time': np.float64(29.259769195778752), 'average waiting time': np.float64(83.47053865658023), 'average System time': np.float64(112.73030785235899), 'Docotor mean service time': np.float64(6343.320990493094), 'Doctor utilization': np.float64(0.6292977173108227)}"
"{'seed': 8, 'average service time': np.float64(29.209921298886137), 'average waiting time': np.float64(82.19642350566616), 'average System time': np.float64(111.40634480455228), 'Docotor mean service time': np.float64(5529.694566730441), 'Doctor utilization': np.float64(0.548580810191512)}"
"{'seed': 9, 'average service time': np.float64(29.037560708089796), 'average waiting time': np.float64(84.04698962768668), 'average System time': np.float64(113.0845503357765), 'Docotor mean service time': np.float64(5894.704485194629), 'Doctor utilization': np.float64(0.5847921116264514)}"
"{'seed': 10, 'average service time': np.float64(29.15846491407488), 'average waiting time': np.float64(85.30336375764301), 'average System time': np.float64(114.46182867171788), 'Docotor mean service time': np.float64(6213.9616035291565), 'Doctor utilization': np.float64(0.6164644447945591)}"
"{'seed': 11, 'average service time': np.float64(29.204195033940334), 'average waiting time': np.float64(78.38497280365978), 'average System time': np.float64(107.5891678376001), 'Docotor mean service time': np.float64(6109.790425268011), 'Doctor utilization': np.float64(0.6061300025067471)}"
"{'seed': 12, 'average service time': np.float64(29.217489215546514), 'average waiting time': np.float64(81.36867301905978), 'average System time': np.float64(110.5861622346063), 'Docotor mean service time': np.float64(6531.345973878021), 'Doctor utilization': np.float64(0.647950989472026)}"
"{'seed': 13, 'average service time': np.float64(29.201159442486), 'average waiting time': np.float64(81.83116591659847), 'average System time': np.float64(111.03232535908448), 'Docotor mean service time': np.float64(6151.85676392115), 'Doctor utilization': np.float64(0.6103032503890029)}"
"{'seed': 14, 'average service time': np.float64(29.12990346119711), 'average waiting time': np.float64(76.47664067155696), 'average System time': np.float64(105.60654413275407), 'Docotor mean service time': np.float64(6216.193587448034), 'Doctor utilization': np.float64(0.6166858717706382)}"
"{'seed': 15, 'average service time': np.float64(29.155850199236504), 'average waiting time': np.float64(79.85213456521765), 'average System time': np.float64(109.00798476445414), 'Docotor mean service time': np.float64(6683.02666839226), 'Doctor utilization': np.float64(0.6629986774198671)}"
"{'seed': 16, 'average service time': np.float64(29.189622698439226), 'average waiting time': np.float64(85.5522931389694), 'average System time': np.float64(114.74191583740861), 'Docotor mean service time': np.float64(6407.845725578973), 'Doctor utilization': np.float64(0.6356989807121997)}"
"{'seed': 17, 'average service time': np.float64(29.179799833422315), 'average waiting time': np.float64(86.43853071181226), 'average System time': np.float64(115.61833054523458), 'Docotor mean service time': np.float64(5672.129915009405), 'Doctor utilization': np.float64(0.5627113010922028)}"
"{'seed': 18, 'average service time': np.float64(29.199258425072124), 'average waiting time': np.float64(88.02700835421639), 'average System time': np.float64(117.22626677928852), 'Docotor mean service time': np.float64(6503.685512681768), 'Doctor utilization': np.float64(0.6452068960993816)}"
"{'seed': 19, 'average service time': np.float64(29.153781768102228), 'average waiting time': np.float64(87.36538745836944), 'average System time': np.float64(116.51916922647167), 'Docotor mean service time': np.float64(5857.683705366695), 'Doctor utilization': np.float64(0.58111941521495)}"
"{'seed': 20, 'average service time': np.float64(29.131690315337597), 'average waiting time': np.float64(89.15568580584525), 'average System time': np.float64(118.28737612118285), 'Docotor mean service time': np.float64(6397.076083900633), 'Doctor utilization': np.float64(0.634630563879031)}"
"{'seed': 21, 'average service time': np.float64(29.137493700835925), 'average waiting time': np.float64(90.01782142415718), 'average System time': np.float64(119.15531512499312), 'Docotor mean service time': np.float64(6249.614612153919), 'Doctor utilization': np.float64(0.6200014496184444)}"
"{'seed': 22, 'average service time': np.float64(29.09740824111539), 'average waiting time': np.float64(90.84297779520045), 'average System time': np.float64(119.94038603631583), 'Docotor mean service time': np.float64(6255.079326975227), 'Doctor utilization': np.float64(0.6205435840253202)}"
"{'seed': 23, 'average service time': np.float64(29.030989285599546), 'average waiting time': np.float64(90.83715284795655), 'average System time': np.float64(119.8681421335561), 'Docotor mean service time': np.float64(6091.15292618275), 'Doctor utilization': np.float64(0.6042810442641616)}"
"{'seed': 24, 'average service time': np.float64(28.977246862756694), 'average waiting time': np.float64(90.69432320565288), 'average System time': np.float64(119.67157006840957), 'Docotor mean service time': np.float64(5955.505791734855), 'Doctor utilization': np.float64(0.5908239872752833)}"
"{'seed': 25, 'average service time': np.float64(28.995915008845884), 'average waiting time': np.float64(91.82551149048624), 'average System time': np.float64(120.82142649933212), 'Docotor mean service time': np.float64(6606.083738651521), 'Doctor utilization': np.float64(0.6553654502630477)}"
"{'seed': 26, 'average service time': np.float64(28.943165053022803), 'average waiting time': np.float64(92.70098301482304), 'average System time': np.float64(121.64414806784586), 'Docotor mean service time': np.float64(6242.657164110288), 'Doctor utilization': np.float64(0.619311226598243)}"
"{'seed': 27, 'average service time': np.float64(29.012567188311927), 'average waiting time': np.float64(94.00711083458135), 'average System time': np.float64(123.01967802289329), 'Docotor mean service time': np.float64(6800.955772609232), 'Doctor utilization': np.float64(0.6746979933144079)}"
"{'seed': 28, 'average service time': np.float64(29.145357688761177), 'average waiting time': np.float64(94.71365878224115), 'average System time': np.float64(123.85901647100233), 'Docotor mean service time': np.float64(6374.553628022312), 'Doctor utilization': np.float64(0.6323961932561818)}"
"{'seed': 29, 'average service time': np.float64(29.122275091871234), 'average waiting time': np.float64(81.6645799944221), 'average System time': np.float64(110.78685508629334), 'Docotor mean service time': np.float64(6403.880030213981), 'Doctor utilization': np.float64(0.6353055585529743)}"
"{'seed': 30, 'average service time': np.float64(29.138034606147443), 'average waiting time': np.float64(80.37460391433221), 'average System time': np.float64(109.51263852047965), 'Docotor mean service time': np.float64(5788.7880568533), 'Doctor utilization': np.float64(0.5742845294497323)}"
